source_document,source_page,source_url,program_name_raw,allocation_2022_23_raw,request_2023_24_raw,allocation_2023_24_raw
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,ASC Book Fund,"$3,000.00","$3,000.00","$2,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Associated Student Council,"$56,953.00","$64,539.00","$64,539.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Bruce Mckenna Writing Center,"$56,039.01",$0.00,$0
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Cultural Programming & Development (CAB),"$116,767.00","$116,767.00","$116,767.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Emergency Fund,"$25,000.00","$50,000.00","$25,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,"Equity, Diversity, Inclusion, and Community","$11,500.00","$11,500.00","$9,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Info Central,"$157,950.76","$169,521.00","157,950.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Leadership & Orientation Training,"$12,600.00","$8,500.00","$8,500.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Learning Support Network,"$419,159.00","$540,680.00","$470,430.25"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,M. Rosetta Hunter Art Gallary,"$57,513.12","$62,872.00","$57,513.12"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Office Management,"$71,667.33","$74,824.00","$74,824.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Parent Support Network,"$25,000.00","$20,000.00","$20,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Phi Theta Kappa,"$32,755.00","$35,000.00","$35,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Services & Activities Fees Committee,-,"$5,416.00","$5,416.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,SWAP,"$52,073.00","$68,720.00","$52,073.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,SORC,"$122,220.00","$120,002.63","$120,002.63"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Student Resource Support,"$136,607.00","$136,000.00","$136,000.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Student Leadership Program,"$131,195.78","$140,985.00","$140,985.00"
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Student Services,$0.00,"$5,000.00",$0
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Wood Technology Center,"$12,000.00",-,"$4,000.00"
